rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,6127,all,random,['Phynn9o'],['Phynn9o#2294'],['p111'],5,386,83,0
2,6021,all,human,['Affz'],['Affz#11222'],['p001'],5,140,19,0
3,5459,all,night_elf,['Headshots7'],['Headshots7#1111'],[''],4,34,7,0
4,5277,all,human,['Streuner'],['Streuner#1397'],['p036'],4,5,2,0
5,5274,all,human,['zaft'],['zaft#21649'],[''],4,4,2,0
6,5256,all,human,['Valden'],['Valden#2683'],['p103'],4,12,7,0
7,5235,all,night_elf,['kenyi'],['kenyi#11130'],[''],4,266,163,0
8,5219,all,night_elf,['liaozp2001'],['liaozp2001#3344'],['p019'],4,175,104,0
9,5167,all,orc,['Imbalock'],['Imbalock#2883'],['p038'],4,426,233,0
10,5147,all,orc,['in0w'],['in0w#2470'],['p004'],4,14,12,0
11,5126,all,night_elf,['ЧёНамот'],['ЧёНамот#2413'],['p055'],4,10,3,0
12,5117,all,random,['Glare'],['Glare#2264'],['p100'],4,8,2,0
13,4977,all,human,['Korbi'],['Korbi#2319'],['p030'],3,64,60,0
14,4968,all,random,['romanUA97'],['romanUA97#1332'],['p001'],3,6,7,0
15,4962,all,random,['화끈한바지'],['화끈한바지#36950'],['p039'],3,512,429,0
16,4935,all,human,['nicokiller28'],['nicokiller28#1985'],[''],3,184,141,0
17,4935,all,night_elf,['MoonRay'],['MoonRay#31390'],[''],3,103,89,0
18,4934,all,random,['GordoBobo'],['GordoBobo#1361'],[''],3,147,39,0
19,4838,all,human,['LordPavlo'],['LordPavlo#21442'],['p027'],3,17,16,0
20,4835,all,orc,['DoctorWeb'],['DoctorWeb#21496'],['p037'],3,90,71,0
21,4823,all,random,['MzRuckus'],['MzRuckus#1391'],[''],3,70,67,0
22,4808,all,random,['Filô'],['Filô#1598'],[''],3,70,66,0
23,4791,all,orc,['darknights'],['darknights#2721'],[''],3,2,3,0
24,4761,all,random,['george'],['george#15869'],[''],3,101,87,0
25,4761,all,random,['Art157'],['Art157#11501'],[''],3,83,25,0
