rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,5234,all,orc,['ЗашелВышел'],['ЗашелВышел#2128'],['p003'],4,74,5,0
2,5231,all,undead,['Virus'],['Virus#12375'],[''],4,34,1,0
3,5218,all,random,['Bino'],['Bino#22462'],['p002'],4,41,0,0
4,5198,all,orc,['Bakari'],['Bakari#21238'],['p038'],4,123,14,0
5,5178,all,orc,['ÇŒÂ'],['ÇŒÂ#1658'],[''],4,42,3,0
6,5168,all,night_elf,['HeisenberG'],['HeisenberG#1291'],[''],4,50,2,0
7,5162,all,random,['Beach'],['Beach#21269'],['p053'],4,90,7,0
8,5151,all,undead,['Fab'],['Fab#22794'],['p003'],4,65,6,0
9,5149,all,orc,['KachunK'],['KachunK#1946'],[''],4,61,5,0
10,5145,all,orc,['sadness'],['sadness#31451'],['p003'],4,108,3,0
11,5133,all,night_elf,['ONIX'],['ONIX#21639'],['p068'],4,97,5,0
12,5124,all,orc,['OnyxViper'],['OnyxViper#2852'],['p003'],4,44,5,0
13,5123,all,random,['b0redom'],['b0redom#1425'],[''],4,128,12,0
14,5115,all,human,['sadness'],['sadness#31451'],['p003'],4,77,7,0
15,5110,all,random,['Painkiller'],['Painkiller#1703'],[''],4,234,28,0
16,5098,all,orc,['popoff'],['popoff#11244'],[''],4,80,4,0
17,5079,all,random,['Bombolo'],['Bombolo#2821'],['p051'],4,22,1,0
18,5073,all,orc,['EchoGoodman'],['EchoGoodman#2734'],['p052'],4,5,1,0
19,5065,all,night_elf,['Nile'],['Nile#1156'],[''],4,5,0,0
20,5057,all,night_elf,['brandastic'],['brandastic#2111'],['p028'],4,6,0,0
21,5056,all,orc,['Zongo'],['Zongo#1944'],[''],4,42,5,0
22,5032,all,orc,['sandrofrozen'],['sandrofrozen#1170'],['p003'],4,110,9,0
