rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,6797,,human,"['cH1LLeR', 'zlAy']","['cH1LLeR#2698', 'zlAy#2247']","['p098', 'p089']",5,25,0,0
2,5964,,night_elf,"['CrankyPants', 'mataleoa']","['CrankyPants#2126351', 'mataleoa#2444']","['p009', 'p049']",4,147,52,0
3,5828,,night_elf,"['eRRePe', 'KR1me']","['eRRePe#2745', 'KR1me#21446']","['p056', 'p080']",4,525,178,0
4,5711,,human,"['herothe4got', 'SavoyTruffle']","['herothe4got#2208', 'SavoyTruffle#11694']","['p088', 'p022']",4,238,92,0
5,5510,,undead,"['dJux', 'NewVince']","['dJux#21450', 'NewVince#2663']","['p112', 'p113']",4,62,25,0
6,5297,,undead,"['Sheamus', 'Mendeley']","['Sheamus#2507', 'Mendeley#21290']","['p030', 'p042']",4,49,29,0
7,5223,,human,"['Jin', 'StephenZhou']","['Jin#16263', 'StephenZhou#11101']","['', '']",4,60,35,0
8,5197,,human,"['Nuñez7', 'MooseMasher']","['Nuñez7#2642', 'MooseMasher#2323']","['p036', 'p004']",4,8,2,0
9,5089,,undead,"['TasteOsteron', 'Morrow']","['TasteOsteron#1151', 'Morrow#2267']","['p030', 'p045']",4,150,124,0
10,5042,,human,"['DiddlyDoodly', 'Dbol']","['DiddlyDoodly#1943', 'Dbol#11629']","['', '']",4,135,109,0
11,4947,,human,"['Mikeyofevil', 'FrostyFeet']","['Mikeyofevil#2224', 'FrostyFeet#2146947']","['p032', 'p036']",3,361,318,0
12,4859,,orc,"['Титан', 'МудраяСова']","['Титан#21426', 'МудраяСова#226363']","['p007', 'p004']",3,2,3,0
13,4636,,random,"['mando', 'Yhip']","['mando#11306', 'Yhip#1668']","['', '']",3,38,44,0
14,4606,,human,"['Gatifo', 'Exaudi']","['Gatifo#1420', 'Exaudi#11716']","['p016', '']",3,5,11,0
15,4404,,orc,"['PAPAJUST', 'SurgicalGerm']","['PAPAJUST#2386', 'SurgicalGerm#2370']","['p005', 'p010']",3,1,9,0
16,4308,,undead,"['ENZLUGNOLL', 'FabioZ']","['ENZLUGNOLL#2722', 'FabioZ#21413']","['p035', 'p104']",3,24,36,0
17,3984,,orc,"['Jhomao', 'JoseMa']","['Jhomao#1631', 'JoseMa#11476']","['', '']",2,4,18,0
18,3691,,undead,"['Jam1889', 'Gatsu92']","['Jam1889#2754', 'Gatsu92#2779']","['p105', 'p039']",2,9,49,0
